FLOW,exports,exports,imports,imports
TRADE_TYPE,Extra-EU,Intra-EU,Extra-EU,Intra-EU
DECLARANT_ISO,,,,
DE,30.24951472450035,22.202515179674048,21.56188392505339,23.06095718831506
NL,9.394664057626239,13.603265994257345,17.952534353405404,7.8008814076909525
BE,6.155500350915839,8.274586479804853,7.67596894776495,7.555502565360633
FR,10.215114931141517,8.016384135283559,9.755995480997827,11.999135558710412
IT,11.333543867291901,7.7454210977893405,9.302988802769976,7.648296304708788
PL,2.899817563123022,6.09501612924233,4.340701658895764,5.374212517537979
ES,5.1839048711398705,5.734844897410599,7.1527889744434985,5.753986802686461
CZ,1.625206718322046,4.654462853572137,2.389042446123903,3.8615391177703873
AT,2.530151894501869,3.541489636882378,2.0632802772260423,4.1282119116788865
HU,1.1681727580892691,2.86028082251028,1.7720263862579722,2.5365393979355795
SE,3.475836575221025,2.4880912606863994,2.3298244224467957,3.1687530528027383
IE,4.7443800891604075,2.25697819503395,1.920976709007006,1.2395747333869869
SK,0.7505980899791668,2.086157032136471,0.8413555115444775,2.1068253772661563
DK,2.4526563902229195,1.725642145210564,1.5028380345251275,2.0872905752974282
RO,0.8334595911919767,1.5916651092091147,1.2616919615701696,2.101750394493817
PT,0.7374981515750614,1.3395793868977655,0.9748231801213351,1.802094836677861
FI,1.450021836206768,1.1030442357649128,0.9797442441374663,1.5207868083446296
SI,0.735319199631869,0.9154295170064705,0.9479888802204578,0.7649731494190102
BG,0.5346312698349892,0.6364903488373072,0.7347508060597532,0.6629074561263664
GR,0.7122708526087371,0.6153646694485432,1.2677463804657765,0.9858386154554898
LT,0.6830617993938672,0.5589311355715718,0.4938839779777788,0.7321220362175622
GB,1.0310127006351981,0.5578106852286765,1.6428446969023334,0.8034328892758422
HR,0.27819184337289504,0.35015468698930796,0.3251475927914669,0.638190390680756
LU,0.11745562947424036,0.3374316262614732,0.11315500661803803,0.5768321602342102
EE,0.26881709897377226,0.3290848659273794,0.220500851277581,0.40413929240348184
LV,0.2754453522248089,0.3073203395429314,0.2139183171365853,0.43391524380322877
MT,0.06768778145083286,0.04051668563982004,0.10022621430097862,0.09466239513347087
CY,0.09606401218954115,0.032040848180471815,0.16137195995814133,0.15664782058582355
